id,heavy,light,antigen,playload,linker,dar,label
DRG0YXJPS,protein_72,protein_205,protein_297,molecule_15,molecule_95,6.0,0
DRG0HVHRQ,protein_70,protein_204,protein_285,molecule_5,molecule_75,4.0,1
DRG0SOAPH,protein_63,protein_173,protein_277,molecule_6,molecule_88,3.6,0
DRG0GHEYC,protein_12,protein_145,protein_257,molecule_7,molecule_78,3.5,0
DRG0JOIJZ,protein_19,protein_153,protein_257,molecule_6,molecule_88,3.5,0
DRG0WHHZG,protein_1,protein_144,protein_256,molecule_2,molecule_72,3.3,1
DRG0OIVTW,protein_1,protein_144,protein_256,molecule_24,molecule_98,4.0,1
DRG0ICWWF,protein_7,protein_192,protein_269,molecule_34,molecule_129,8.0,1
DRG0YGJNE,protein_5,protein_148,protein_257,molecule_7,molecule_84,3.5,0
DRG0RRKOG,protein_5,protein_148,protein_257,molecule_2,molecule_72,3.5,0
DRG0OMVBK,protein_127,protein_243,protein_316,molecule_5,molecule_75,2.0,1
DRG0ISBOE,protein_24,protein_165,protein_271,molecule_52,molecule_111,2.0,1
DRG0SIGYC,protein_1,protein_144,protein_256,molecule_5,molecule_86,4.0,0
DRG0IPGHJ,protein_124,protein_144,protein_256,molecule_5,molecule_75,3.9,0
DRG0NLWKV,protein_116,protein_239,protein_308,molecule_20,molecule_94,2.0,1
DRG0XHZLG,protein_102,protein_229,protein_311,molecule_59,molecule_75,4.0,1
DRG0RIPVI,protein_142,protein_253,protein_271,molecule_5,molecule_75,3.8,1
DRG0BOEGK,protein_1,protein_144,protein_256,molecule_8,molecule_80,3.9,0
DRG0TDKHC,protein_1,protein_144,protein_256,molecule_5,molecule_120,2.0,1
DRG0QRDUT,protein_135,protein_248,protein_317,molecule_8,molecule_79,4.2,1
DRG0GCLJQ,protein_1,protein_144,protein_256,molecule_47,molecule_73,1.89,1
DRG0IEEQN,protein_60,protein_196,protein_265,molecule_9,molecule_150,4.57,1
DRG0WZSAX,protein_38,protein_153,protein_257,molecule_2,molecule_72,3.5,0
DRG0TJNBS,protein_1,protein_144,protein_256,molecule_5,molecule_101,3.89,1
DRG0VWVOU,protein_24,protein_165,protein_271,molecule_5,molecule_75,3.5,1
DRG0RYHHB,protein_10,protein_154,protein_263,molecule_27,molecule_83,3.8,1
DRG0EVIRB,protein_1,protein_144,protein_256,molecule_7,molecule_89,3.4,1
DRG0LODVW,protein_42,protein_180,protein_283,molecule_8,molecule_79,4.0,1
DRG0QYJUL,protein_1,protein_144,protein_256,molecule_15,molecule_140,3.7,1
DRG0XVWMN,protein_19,protein_153,protein_257,molecule_2,molecule_72,3.5,0
DRG0OUQRD,protein_1,protein_182,protein_256,molecule_5,molecule_79,3.6,0
DRG0FLPWM,protein_52,protein_190,protein_260,molecule_7,molecule_78,3.5,0
DRG0BIVOI,protein_5,protein_148,protein_257,molecule_7,molecule_80,3.6,1
DRG0HZNEP,protein_1,protein_144,protein_256,molecule_7,molecule_84,3.3,1
DRG0MCKPB,protein_59,protein_145,protein_257,molecule_7,molecule_84,3.5,1
DRG0SXFSY,protein_37,protein_176,protein_279,molecule_25,molecule_99,6.0,1
DRG0GZGHN,protein_46,protein_184,protein_286,molecule_6,molecule_76,1.0,1
DRG0MHAHZ,protein_138,protein_250,protein_308,molecule_6,molecule_76,3.5,1
DRG0VVVWC,protein_1,protein_144,protein_256,molecule_5,molecule_124,4.0,1
DRG0VKZKL,protein_25,protein_166,protein_260,molecule_6,molecule_88,3.5,0
DRG0HRDSA,protein_10,protein_154,protein_263,molecule_27,molecule_83,2.0,1
DRG0TIZXC,protein_1,protein_144,protein_256,molecule_55,molecule_130,2.0,1
DRG0DVKOY,protein_8,protein_151,protein_262,molecule_6,molecule_88,3.75,0
