id,heavy,light,antigen,playload,linker,dar,label
DRG0VQNHE,protein_1,protein_144,protein_256,molecule_5,molecule_77,6.0,1
DRG0JWSPU,protein_1,protein_144,protein_256,molecule_40,molecule_94,2.26,1
DRG0UYDHQ,protein_30,protein_162,protein_260,molecule_7,molecule_80,3.5,0
DRG0IZAKQ,protein_1,protein_144,protein_256,molecule_5,molecule_75,3.88,0
DRG0OTHET,protein_1,protein_144,protein_256,molecule_5,molecule_97,2.0,1
DRG0PZEQO,protein_1,protein_144,protein_256,molecule_7,molecule_80,2.6,1
DRG0LJSQF,protein_15,protein_158,protein_258,molecule_15,molecule_90,6.0,0
DRG0OIIGH,protein_16,protein_159,protein_260,molecule_7,molecule_78,3.5,0
DRG0RIGUP,protein_77,protein_210,protein_300,molecule_5,molecule_75,4.0,1
DRG0ZBATX,protein_2,protein_145,protein_257,molecule_2,molecule_72,3.5,0
DRG0RRMRW,protein_1,protein_144,protein_256,molecule_25,molecule_71,1.81,0
DRG0YNSSE,protein_21,protein_162,protein_260,molecule_2,molecule_72,3.5,0
DRG0JWBNH,protein_20,protein_161,protein_269,molecule_5,molecule_75,4.0,1
DRG0NLDTF,protein_10,protein_154,protein_263,molecule_70,molecule_83,4.0,1
DRG0CXFTH,protein_93,protein_188,protein_271,molecule_20,molecule_94,2.0,1
DRG0XFAKK,protein_28,protein_169,protein_273,molecule_43,molecule_84,4.25,0
DRG0NDXRU,protein_75,protein_208,protein_298,molecule_8,molecule_79,4.0,1
DRG0PNJIT,protein_84,protein_217,protein_303,molecule_5,molecule_75,3.5,1
DRG0QLCMJ,protein_119,protein_241,protein_256,molecule_5,molecule_111,4.8,1
DRG0PPAAM,protein_2,protein_153,protein_257,molecule_2,molecule_72,3.5,0
DRG0ZIJNR,protein_65,protein_200,protein_295,molecule_21,molecule_108,8.0,1
DRG0SXQYA,protein_68,protein_144,protein_256,molecule_42,molecule_116,2.0,0
DRG0JTAOC,protein_34,protein_174,protein_273,molecule_7,molecule_80,3.5,1
DRG0QRXDE,protein_1,protein_144,protein_256,molecule_5,molecule_97,2.0,1
DRG0FSHWJ,protein_117,protein_240,protein_315,molecule_5,molecule_75,4.0,1
DRG0EPHMC,protein_13,protein_156,protein_265,molecule_6,molecule_76,3.2,1
DRG0XRKKA,protein_52,protein_190,protein_260,molecule_6,molecule_76,3.6,1
DRG0HCHFN,protein_1,protein_144,protein_256,molecule_5,molecule_127,4.0,1
DRG0LSAKO,protein_1,protein_144,protein_256,molecule_41,molecule_113,4.0,1
DRG0JYWIX,protein_7,protein_150,protein_261,molecule_5,molecule_75,4.0,0
DRG0DCQUW,protein_8,protein_151,protein_262,molecule_6,molecule_88,4.0,1
DRG0QJGNH,protein_61,protein_197,protein_279,molecule_15,molecule_95,6.0,1
DRG0ZMVEM,protein_24,protein_165,protein_271,molecule_7,molecule_80,3.5,1
DRG0TXLYS,protein_1,protein_144,protein_256,molecule_37,molecule_110,8.0,1
DRG0DUYHC,protein_6,protein_149,protein_260,molecule_2,molecule_72,3.5,0
DRG0ZCWSM,protein_2,protein_153,protein_257,molecule_6,molecule_88,3.5,0
DRG0MDBMS,protein_12,protein_145,protein_257,molecule_2,molecule_72,3.5,0
DRG0SVTGT,protein_52,protein_190,protein_260,molecule_2,molecule_72,3.5,0
DRG0EANLL,protein_6,protein_149,protein_260,molecule_7,molecule_78,3.5,0
DRG0YQKRG,protein_106,protein_232,protein_313,molecule_5,molecule_75,4.22,1
