id,sequence,method
molecule_2,O=C([C@H](C)N(C)C(CCC(S)C)=O)O[C@H]1CC(=O)N(C)c2c(Cl)c(OC)cc(c2)C/C(C)=C/C=C/[C@@H](OC)[C@@]2(O)C[C@H](OC(=O)N2)[C@@H](C)[C@@H]2O[C@@]12C,rand_1
molecule_2,O=C(CCC(S)C)N([C@H](C(O[C@H]1CC(=O)N(C)c2cc(cc(OC)c2Cl)C/C(C)=C/C=C/[C@@H](OC)[C@]2(O)NC(=O)O[C@H]([C@@H](C)[C@@H]3O[C@@]13C)C2)=O)C)C,rand_2
molecule_2,c1c2c(Cl)c(OC)cc1C/C(C)=C/C=C/[C@@H](OC)[C@]1(O)NC(=O)O[C@H]([C@@H](C)[C@H]3[C@@](C)(O3)[C@@H](OC(=O)[C@H](C)N(C(=O)CCC(C)S)C)CC(=O)N2C)C1,rand_3
molecule_2,[C@@H]1(OC(=O)[C@H](C)N(C)C(=O)CCC(C)S)[C@]2(C)O[C@H]2[C@H](C)[C@H]2OC(=O)N[C@](O)(C2)[C@H](OC)/C=C/C=C(\C)Cc2cc(c(Cl)c(OC)c2)N(C)C(=O)C1,rand_4
molecule_2,N([C@@H](C)C(O[C@H]1CC(=O)N(C)c2cc(cc(OC)c2Cl)C/C(C)=C/C=C/[C@@H](OC)[C@@]2(O)C[C@H](OC(=O)N2)[C@@H](C)[C@H]2[C@@]1(C)O2)=O)(C(=O)CCC(C)S)C,rand_5
molecule_2,O[C@]12C[C@H](OC(=O)N1)[C@@H](C)[C@@H]1O[C@@]1(C)[C@@H](OC([C@@H](N(C(CCC(C)S)=O)C)C)=O)CC(=O)N(C)c1c(Cl)c(OC)cc(c1)C/C(C)=C/C=C/[C@H]2OC,rand_6
molecule_2,O=C1N(C)c2cc(cc(OC)c2Cl)C/C(C)=C/C=C/[C@@H](OC)[C@@]2(O)C[C@@H]([C@@H](C)[C@@H]3O[C@@]3(C)[C@@H](OC([C@@H](N(C(CCC(S)C)=O)C)C)=O)C1)OC(=O)N2,rand_7
molecule_2,O1[C@@H]2[C@@H](C)[C@H]3[C@](C)([C@@H](OC(=O)[C@H](C)N(C)C(=O)CCC(S)C)CC(=O)N(C)c4cc(cc(OC)c4Cl)C/C(C)=C/C=C/[C@@H](OC)[C@](O)(NC1=O)C2)O3,rand_8
molecule_2,C1=C/[C@@H](OC)[C@]2(O)NC(=O)O[C@@H](C2)[C@@H](C)[C@H]2[C@](C)([C@@H](OC([C@@H](N(C(=O)CCC(S)C)C)C)=O)CC(=O)N(C)c3c(Cl)c(OC)cc(c3)C/C(C)=C/1)O2,rand_9
molecule_2,O1[C@H]2[C@H](C)[C@@H]3C[C@@](O)(NC(=O)O3)[C@H](OC)/C=C/C=C(\C)Cc3cc(c(Cl)c(OC)c3)N(C)C(=O)C[C@H](OC([C@@H](N(C)C(CCC(C)S)=O)C)=O)[C@]12C,rand_10
molecule_3,C12CC(=C)CN1C(=O)c1cc(OC)c(OCCCOc3c(OC)cc4c(c3)N=CC3CC(=C)CN3C4=O)cc1N=C2,rand_1
molecule_3,C=C1CN2C(C=Nc3c(cc(OC)c(OCCCOc4c(OC)cc5c(c4)N=CC4CC(=C)CN4C5=O)c3)C2=O)C1,rand_2
molecule_3,C1=Nc2cc(OCCCOc3c(OC)cc4c(c3)N=CC3N(CC(=C)C3)C4=O)c(OC)cc2C(=O)N2C1CC(=C)C2,rand_3
molecule_3,c1c2c(cc(OCCCOc3cc4c(cc3OC)C(=O)N3CC(=C)CC3C=N4)c1OC)N=CC1N(CC(=C)C1)C2=O,rand_4
molecule_3,O(c1cc2c(cc1OCCCOc1c(OC)cc3c(c1)N=CC1CC(=C)CN1C3=O)N=CC1N(C2=O)CC(=C)C1)C,rand_5
molecule_3,c12cc(OCCCOc3c(OC)cc4c(c3)N=CC3N(C4=O)CC(=C)C3)c(OC)cc1C(=O)N1CC(=C)CC1C=N2,rand_6
molecule_3,O(CCCOc1cc2c(cc1OC)C(=O)N1C(C=N2)CC(=C)C1)c1cc2c(cc1OC)C(=O)N1CC(=C)CC1C=N2,rand_7
molecule_3,c12cc(OC)c(OCCCOc3cc4c(cc3OC)C(=O)N3CC(=C)CC3C=N4)cc1N=CC1N(CC(=C)C1)C2=O,rand_8
molecule_3,O(c1cc2c(cc1OCCCOc1cc3c(cc1OC)C(=O)N1C(C=N3)CC(=C)C1)N=CC1N(CC(=C)C1)C2=O)C,rand_9
molecule_3,C1=Nc2c(cc(OC)c(OCCCOc3cc4c(cc3OC)C(=O)N3C(CC(=C)C3)C=N4)c2)C(=O)N2C1CC(=C)C2,rand_10
molecule_4,N(C(CO)=O)[C@@H]1c2c3c(cc(F)c(C)c3CC1)nc1c2Cn2c-1cc1c(c2=O)COC(=O)[C@]1(O)CC,rand_1
molecule_4,C1c2c(nc3c4c2[C@@H](NC(=O)CO)CCc4c(C)c(F)c3)-c2cc3c(c(=O)n21)COC(=O)[C@@]3(CC)O,rand_2
molecule_4,c12c(=O)n3c(cc1[C@@](O)(CC)C(=O)OC2)-c1nc2c4c(c(C)c(F)c2)CC[C@H](NC(CO)=O)c4c1C3,rand_3
molecule_4,[C@H]1(NC(=O)CO)CCc2c3c(cc(F)c2C)nc2c(c31)Cn1c-2cc2c(c1=O)COC(=O)[C@]2(O)CC,rand_4
molecule_4,C(=O)(N[C@H]1CCc2c3c(nc4c(c31)Cn1c-4cc3c(c1=O)COC(=O)[C@@]3(CC)O)cc(F)c2C)CO,rand_5
molecule_4,c12c3c(c4c(nc3cc(F)c1C)-c1cc3c(c(=O)n1C4)COC(=O)[C@@]3(CC)O)[C@@H](NC(CO)=O)CC2,rand_6
molecule_4,O=C(CO)N[C@H]1CCc2c(C)c(F)cc3nc4c(c1c23)Cn1c(=O)c2c(cc1-4)[C@](CC)(O)C(=O)OC2,rand_7
molecule_4,CC[C@@]1(O)C(=O)OCc2c(=O)n3c(cc21)-c1c(c2c4c(c(C)c(F)cc4n1)CC[C@@H]2NC(CO)=O)C3,rand_8
molecule_4,c12c3c(C)c(F)cc1nc1c(c2[C@@H](NC(=O)CO)CC3)Cn2c(=O)c3c(cc2-1)[C@@](O)(CC)C(=O)OC3,rand_9
molecule_4,Cc1c2c3c(c4c(nc3cc1F)-c1n(c(=O)c3c(c1)[C@](CC)(O)C(=O)OC3)C4)[C@@H](NC(=O)CO)CC2,rand_10
molecule_5,[C@H](O)(c1ccccc1)[C@@H](C)NC(=O)[C@@H]([C@@H](OC)[C@H]1N(C(C[C@@H](OC)[C@H]([C@@H](C)CC)N(C([C@H](C(C)C)NC(=O)[C@@H](NC)C(C)C)=O)C)=O)CCC1)C,rand_1
molecule_5,N([C@H](C(=O)N(C)[C@@H]([C@H](CC)C)[C@H](OC)CC(N1[C@H]([C@H](OC)[C@H](C(N[C@H](C)[C@H](c2ccccc2)O)=O)C)CCC1)=O)C(C)C)C(=O)[C@@H](NC)C(C)C,rand_2
molecule_5,C1[C@@H]([C@@H]([C@@H](C)C(=O)N[C@@H]([C@H](c2ccccc2)O)C)OC)N(C(C[C@H]([C@H]([C@H](CC)C)N(C(=O)[C@H](C(C)C)NC(=O)[C@@H](NC)C(C)C)C)OC)=O)CC1,rand_3
molecule_5,c1cc([C@@H]([C@H](NC(=O)[C@@H]([C@H]([C@@H]2CCCN2C(C[C@H]([C@@H](N(C)C(=O)[C@@H](NC([C@@H](NC)C(C)C)=O)C(C)C)[C@@H](C)CC)OC)=O)OC)C)C)O)ccc1,rand_4
molecule_5,CO[C@H](CC(=O)N1CCC[C@H]1[C@@H]([C@H](C(N[C@H](C)[C@@H](O)c1ccccc1)=O)C)OC)[C@H]([C@@H](C)CC)N(C(=O)[C@@H](NC(=O)[C@@H](NC)C(C)C)C(C)C)C,rand_5
molecule_5,CN[C@H](C(=O)N[C@@H](C(C)C)C(N([C@H]([C@@H](CC(=O)N1[C@H]([C@H](OC)[C@H](C(N[C@H](C)[C@H](c2ccccc2)O)=O)C)CCC1)OC)[C@@H](C)CC)C)=O)C(C)C,rand_6
molecule_5,[C@H](C(=O)N(C)[C@@H]([C@H](CC)C)[C@H](OC)CC(N1CCC[C@H]1[C@H](OC)[C@H](C(=O)N[C@@H]([C@@H](O)c1ccccc1)C)C)=O)(NC(=O)[C@H](C(C)C)NC)C(C)C,rand_7
molecule_5,N(C)[C@@H](C(C)C)C(N[C@@H](C(C)C)C(=O)N(C)[C@@H]([C@H](CC)C)[C@H](OC)CC(N1[C@H]([C@H](OC)[C@@H](C)C(=O)N[C@@H]([C@H](c2ccccc2)O)C)CCC1)=O)=O,rand_8
molecule_5,[C@@H](C)([C@@H]([C@H](OC)CC(=O)N1[C@H]([C@H](OC)[C@H](C(N[C@H](C)[C@H](c2ccccc2)O)=O)C)CCC1)N(C)C([C@@H](NC(=O)[C@H](C(C)C)NC)C(C)C)=O)CC,rand_9
molecule_5,c1cccc([C@@H]([C@@H](C)NC(=O)[C@@H]([C@@H](OC)[C@@H]2CCCN2C(C[C@@H](OC)[C@H]([C@@H](C)CC)N(C)C([C@@H](NC([C@H](C(C)C)NC)=O)C(C)C)=O)=O)C)O)c1,rand_10
molecule_6,C([C@@H](N(C)C(CCC(C)(C)S)=O)C)(=O)O[C@H]1CC(=O)N(C)c2c(Cl)c(OC)cc(c2)C/C(C)=C/C=C/[C@@H](OC)[C@@]2(O)C[C@H](OC(=O)N2)[C@@H](C)[C@@H]2O[C@@]12C,rand_1
molecule_6,C(CC(C)(C)S)C(=O)N([C@H](C(O[C@H]1CC(=O)N(C)c2cc(cc(OC)c2Cl)C/C(C)=C/C=C/[C@@H](OC)[C@]2(O)NC(=O)O[C@H]([C@@H](C)[C@@H]3O[C@@]13C)C2)=O)C)C,rand_2
molecule_6,c1c2c(Cl)c(OC)cc1C/C(C)=C/C=C/[C@@H](OC)[C@]1(O)NC(=O)O[C@H]([C@@H](C)[C@@H]3O[C@@]3(C)[C@@H](OC(=O)[C@@H](N(C(=O)CCC(C)(S)C)C)C)CC(=O)N2C)C1,rand_3
molecule_6,[C@@]12(O)NC(=O)O[C@@H](C1)[C@@H](C)[C@@H]1O[C@@]1(C)[C@@H](OC(=O)[C@@H](N(C)C(=O)CCC(C)(S)C)C)CC(=O)N(C)c1cc(cc(OC)c1Cl)C/C(C)=C/C=C/[C@H]2OC,rand_4
molecule_6,C1(=O)O[C@H]2C[C@](O)([C@H](OC)/C=C/C=C(\C)Cc3cc(c(Cl)c(OC)c3)N(C)C(=O)C[C@H](OC(=O)[C@@H](N(C(=O)CCC(C)(S)C)C)C)[C@@]3(C)[C@H]([C@@H]2C)O3)N1,rand_5
molecule_6,O[C@]12C[C@H](OC(=O)N1)[C@@H](C)[C@@H]1O[C@@]1(C)[C@@H](OC([C@@H](N(C(=O)CCC(C)(S)C)C)C)=O)CC(=O)N(C)c1c(Cl)c(OC)cc(c1)C/C(C)=C/C=C/[C@H]2OC,rand_6
molecule_6,O=C1N(C)c2cc(cc(OC)c2Cl)C/C(C)=C/C=C/[C@@H](OC)[C@]2(O)NC(=O)O[C@H]([C@@H](C)[C@@H]3O[C@@]3(C)[C@@H](OC([C@@H](N(C(=O)CCC(C)(S)C)C)C)=O)C1)C2,rand_7
molecule_6,O1[C@@H]2[C@@H](C)[C@H]3[C@](C)([C@@H](OC(=O)[C@H](C)N(C)C(CCC(C)(S)C)=O)CC(=O)N(C)c4cc(cc(OC)c4Cl)C/C(C)=C/C=C/[C@@H](OC)[C@](O)(NC1=O)C2)O3,rand_8
molecule_6,C1=C/[C@@H](OC)[C@]2(O)NC(=O)O[C@@H](C2)[C@@H](C)[C@H]2[C@](C)([C@@H](OC([C@@H](N(C(CCC(C)(S)C)=O)C)C)=O)CC(=O)N(C)c3c(Cl)c(OC)cc(c3)C/C(C)=C/1)O2,rand_9
molecule_6,N1(C)C(=O)C[C@H](OC(=O)[C@@H](N(C)C(CCC(C)(S)C)=O)C)[C@@]2(C)[C@@H](O2)[C@H](C)[C@@H]2C[C@@](O)(NC(=O)O2)[C@H](OC)/C=C/C=C(\C)Cc2cc1c(Cl)c(OC)c2,rand_10
molecule_7,O1[C@@H]2[C@]1(C)[C@@H](OC(=O)[C@H](C)N(C)C(CCS)=O)CC(=O)N(C)c1c(Cl)c(OC)cc(c1)C/C(C)=C/C=C/[C@@H](OC)[C@@]1(O)C[C@H](OC(=O)N1)[C@H]2C,rand_1
molecule_7,C(=O)(CCS)N([C@@H](C)C(O[C@H]1CC(=O)N(C)c2cc(cc(OC)c2Cl)C/C(C)=C/C=C/[C@@H](OC)[C@@]2(O)C[C@H](OC(=O)N2)[C@@H](C)[C@@H]2O[C@@]12C)=O)C,rand_2
molecule_7,c1c2c(Cl)c(OC)cc1C/C(C)=C/C=C/[C@@H](OC)[C@]1(O)NC(=O)O[C@H]([C@@H](C)[C@H]3[C@@](C)(O3)[C@@H](OC(=O)[C@@H](N(C(=O)CCS)C)C)CC(=O)N2C)C1,rand_3
molecule_7,C1=C/C=C(\C)Cc2cc(c(Cl)c(OC)c2)N(C)C(=O)C[C@H](OC(=O)[C@H](C)N(C)C(=O)CCS)[C@]2(C)O[C@H]2[C@H](C)[C@H]2OC(=O)N[C@](O)(C2)[C@@H]/1OC,rand_4
molecule_7,C/C1=C\C=C\[C@@H](OC)[C@@]2(O)C[C@H](OC(=O)N2)[C@@H](C)[C@H]2[C@](C)([C@@H](OC(=O)[C@@H](N(C(=O)CCS)C)C)CC(=O)N(C)c3cc(cc(OC)c3Cl)C1)O2,rand_5
molecule_7,O[C@]12C[C@H](OC(=O)N1)[C@@H](C)[C@@H]1O[C@@]1(C)[C@@H](OC(=O)[C@@H](N(C(CCS)=O)C)C)CC(=O)N(C)c1c(Cl)c(OC)cc(c1)C/C(C)=C/C=C/[C@H]2OC,rand_6
molecule_7,c12cc(cc(OC)c1Cl)C/C(C)=C/C=C/[C@@H](OC)[C@]1(O)NC(=O)O[C@H]([C@@H](C)[C@@H]3O[C@@]3(C)[C@@H](OC([C@@H](N(C(CCS)=O)C)C)=O)CC(=O)N2C)C1,rand_7
molecule_7,CO[C@H]1[C@]2(O)NC(=O)O[C@H]([C@@H](C)[C@H]3[C@](C)([C@@H](OC([C@H](C)N(C(CCS)=O)C)=O)CC(=O)N(C)c4cc(cc(OC)c4Cl)C/C(C)=C/C=C/1)O3)C2,rand_8
molecule_7,C1(=O)N(C)c2c(Cl)c(OC)cc(c2)C/C(C)=C/C=C/[C@@H](OC)[C@]2(O)NC(=O)O[C@@H](C2)[C@@H](C)[C@H]2[C@](C)([C@@H](OC([C@@H](N(C)C(=O)CCS)C)=O)C1)O2,rand_9
molecule_7,O=C(N([C@H](C(=O)O[C@H]1CC(=O)N(C)c2cc(cc(OC)c2Cl)C/C(C)=C/C=C/[C@@H](OC)[C@@]2(O)C[C@@H]([C@@H](C)[C@@H]3O[C@]31C)OC(=O)N2)C)C)CCS,rand_10
molecule_8,O(C)[C@@H]([C@H]1N(C(C[C@@H](OC)[C@H]([C@@H](C)CC)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@@H](NC)C(C)C)=O)CCC1)[C@H](C(N[C@@H](Cc1ccccc1)C(O)=O)=O)C,rand_1
molecule_8,C([C@@H](NC([C@H](C(C)C)NC)=O)C(C)C)(=O)N(C)[C@@H]([C@H](CC)C)[C@@H](CC(N1[C@H]([C@H](OC)[C@H](C(N[C@H](C(O)=O)Cc2ccccc2)=O)C)CCC1)=O)OC,rand_2
molecule_8,C1[C@@H]([C@@H]([C@@H](C)C(=O)N[C@H](C(O)=O)Cc2ccccc2)OC)N(C(C[C@@H](OC)[C@@H](N(C)C([C@H](C(C)C)NC(=O)[C@@H](NC)C(C)C)=O)[C@H](CC)C)=O)CC1,rand_3
molecule_8,c1cccc(C[C@@H](C(=O)O)NC([C@@H]([C@@H](OC)[C@@H]2CCCN2C(C[C@H]([C@@H](N(C(=O)[C@@H](NC(=O)[C@@H](NC)C(C)C)C(C)C)C)[C@@H](C)CC)OC)=O)C)=O)c1,rand_4
molecule_8,CO[C@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@H](C(N[C@@H](Cc1ccccc1)C(=O)O)=O)C)[C@H]([C@@H](C)CC)N(C([C@@H](NC(=O)[C@@H](NC)C(C)C)C(C)C)=O)C,rand_5
molecule_8,CN[C@H](C(N[C@@H](C(C)C)C(=O)N(C)[C@H]([C@@H](CC(=O)N1[C@H]([C@H](OC)[C@H](C(N[C@@H](Cc2ccccc2)C(O)=O)=O)C)CCC1)OC)[C@@H](C)CC)=O)C(C)C,rand_6
molecule_8,c1(C[C@@H](C(=O)O)NC([C@H](C)[C@H]([C@H]2N(C(C[C@@H](OC)[C@H]([C@H](CC)C)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@@H](NC)C(C)C)=O)CCC2)OC)=O)ccccc1,rand_7
molecule_8,N(C)[C@@H](C(C)C)C(=O)N[C@H](C(N([C@@H]([C@H](CC)C)[C@H](OC)CC(N1[C@H]([C@H](OC)[C@@H](C)C(=O)N[C@H](C(O)=O)Cc2ccccc2)CCC1)=O)C)=O)C(C)C,rand_8
molecule_8,C(C[C@H]([C@H]([C@@H](C)CC)N(C([C@@H](NC(=O)[C@H](C(C)C)NC)C(C)C)=O)C)OC)(=O)N1[C@H]([C@H](OC)[C@H](C(N[C@@H](Cc2ccccc2)C(O)=O)=O)C)CCC1,rand_9
molecule_8,c1ccccc1C[C@H](NC(=O)[C@@H]([C@@H](OC)[C@@H]1CCCN1C(C[C@H]([C@H]([C@@H](C)CC)N(C(=O)[C@@H](NC([C@H](C(C)C)NC)=O)C(C)C)C)OC)=O)C)C(O)=O,rand_10
molecule_9,C1C(=O)C[C@@H]2[C@@H](OC)[C@@H](C[C@H](O)CN)O[C@H]2C[C@H]2O[C@H](C[C@@H](C)C2=C)CC[C@H]2C(=C)C[C@@H](O2)CC[C@@]23O[C@H]4[C@H]5O[C@@H]1CC[C@@H]5O[C@H]1[C@@H](O2)[C@H](O[C@H]14)C3,rand_1
molecule_9,C1[C@@H]2O[C@H](C[C@@H](CN)O)[C@H](OC)[C@H]2CC(=O)C[C@@H]2O[C@H]3[C@H](CC2)O[C@H]2[C@@H]4[C@@H]5O[C@H]2[C@H]3O[C@](CC[C@H]2CC(=C)[C@H](CC[C@H]3C[C@@H](C)C(=C)[C@@H]1O3)O2)(O4)C5,rand_2
molecule_9,C1C[C@@]23O[C@@H]4[C@H]5[C@H]([C@@H](O2)[C@@H](C3)O5)O[C@H]2CC[C@H](CC(=O)C[C@H]3[C@H](C[C@@H]5C(=C)[C@H](C)C[C@H](CC[C@@H]6O[C@@H]1CC6=C)O5)O[C@H](C[C@@H](CN)O)[C@@H]3OC)O[C@@H]24,rand_3
molecule_9,[C@H]12[C@@H]3CC[C@H](CC(=O)C[C@@H]4[C@@H](OC)[C@@H](C[C@@H](CN)O)O[C@H]4C[C@H]4O[C@@H](CC[C@H]5C(=C)C[C@@H](O5)CC[C@]56C[C@@H]7[C@H](O5)[C@@H]([C@H]([C@H]1O6)O7)O3)C[C@@H](C)C4=C)O2,rand_4
molecule_9,C1C(=O)C[C@H]2CC[C@H]3[C@@H]([C@@H]4O[C@@]5(O[C@@H]6[C@H](O3)[C@H]4O[C@@H]6C5)CC[C@@H]3O[C@@H](CC[C@H]4C[C@@H](C)C(=C)[C@H](O4)C[C@@H]4O[C@H](C[C@H](O)CN)[C@H](OC)[C@@H]14)C(=C)C3)O2,rand_5
molecule_9,O[C@H](CN)C[C@@H]1[C@H](OC)[C@H]2CC(=O)C[C@@H]3O[C@@H]4[C@@H]5O[C@@]6(O[C@@H]7[C@H](O[C@H]4CC3)[C@H]5O[C@@H]7C6)CC[C@@H]3O[C@H](C(=C)C3)CC[C@@H]3O[C@@H](C(=C)[C@H](C)C3)C[C@@H]2O1,rand_6
molecule_9,[C@@H]12[C@@H]3O[C@@H]4C[C@@]5(O[C@@H]4[C@@H]3O[C@H]3CC[C@@H](O[C@H]13)CC(=O)C[C@H]1[C@H](C[C@H]3O[C@H](C[C@@H](C)C3=C)CC[C@@H]3O[C@H](CC3=C)CC5)O[C@H](C[C@H](O)CN)[C@@H]1OC)O2,rand_7
molecule_9,NC[C@@H](O)C[C@H]1O[C@@H]2[C@@H]([C@H]1OC)CC(=O)C[C@H]1CC[C@H]3[C@@H]([C@@H]4O[C@@]5(O[C@H]6[C@@H](C5)O[C@@H]4[C@H]6O3)CC[C@@H]3O[C@H](C(=C)C3)CC[C@H]3C[C@@H](C)C(=C)[C@@H](C2)O3)O1,rand_8
molecule_9,C1(=C)[C@@H]2CC[C@H]3C[C@@H](C)C(=C)[C@@H](C[C@@H]4O[C@H](C[C@@H](CN)O)[C@H](OC)[C@H]4CC(=O)C[C@@H]4O[C@H]5[C@@H](O[C@@H]6[C@H]7O[C@@H]8C[C@@](O[C@H]75)(CC[C@@H](C1)O2)O[C@@H]86)CC4)O3,rand_9
molecule_9,C1[C@@H]2O[C@@H]3[C@H]4O[C@H]5[C@@H]3O[C@@]3(O[C@H]4[C@H]2O[C@@H](CC(=O)C[C@@H]2[C@@H](OC)[C@@H](C[C@@H](CN)O)O[C@H]2C[C@H]2O[C@H](C[C@@H](C)C2=C)CC[C@H]2C(=C)C[C@H](CC3)O2)C1)C5,rand_10
molecule_10,c1c(CN(C)C)ccc(Cc2nc3c(nc(N)nc3NCCCC)cc2)c1,rand_1
molecule_10,n1c2c(nc(N)nc2NCCCC)ccc1Cc1ccc(CN(C)C)cc1,rand_2
molecule_10,c1(CN(C)C)ccc(Cc2ccc3nc(N)nc(NCCCC)c3n2)cc1,rand_3
molecule_10,c1c(Cc2ccc3nc(N)nc(NCCCC)c3n2)ccc(CN(C)C)c1,rand_4
molecule_10,c1c(CN(C)C)ccc(Cc2ccc3c(c(NCCCC)nc(N)n3)n2)c1,rand_5
molecule_10,n1c(NCCCC)c2nc(Cc3ccc(CN(C)C)cc3)ccc2nc1N,rand_6
molecule_10,C(CC)CNc1c2nc(Cc3ccc(CN(C)C)cc3)ccc2nc(N)n1,rand_7
molecule_10,CN(C)Cc1ccc(Cc2nc3c(cc2)nc(N)nc3NCCCC)cc1,rand_8
molecule_10,c1(NCCCC)nc(N)nc2c1nc(Cc1ccc(CN(C)C)cc1)cc2,rand_9
molecule_10,c1(N)nc(NCCCC)c2nc(Cc3ccc(CN(C)C)cc3)ccc2n1,rand_10
molecule_11,C1=CC2(C)C3C(O)CC4C5(C(CO)=O)OC(c6ccc(SCc7cccc(N)c7)cc6)OC5CC4C3CCC2=CC1=O,rand_1
molecule_11,Nc1cccc(CSc2ccc(C3OC4CC5C(CC(O)C6C7(C)C=CC(=O)C=C7CCC65)C4(C(CO)=O)O3)cc2)c1,rand_2
molecule_11,c1c(C2OC3(C(=O)CO)C(O2)CC2C3CC(O)C3C4(C)C=CC(=O)C=C4CCC23)ccc(SCc2cc(N)ccc2)c1,rand_3
molecule_11,O1C(c2ccc(SCc3cc(N)ccc3)cc2)OC2CC3C4C(C(O)CC3C12C(CO)=O)C1(C)C(=CC(=O)C=C1)CC4,rand_4
molecule_11,c1c(CSc2ccc(C3OC4(C(=O)CO)C5C(C6C(C7(C)C=CC(=O)C=C7CC6)C(O)C5)CC4O3)cc2)cccc1N,rand_5
molecule_11,C1=C2CCC3C(C(O)CC4C5(C(=O)CO)OC(c6ccc(SCc7cccc(N)c7)cc6)OC5CC43)C2(C)C=CC1=O,rand_6
molecule_11,c1cc(C2OC3(C(=O)CO)C(CC4C5CCC6=CC(=O)C=CC6(C)C5C(O)CC34)O2)ccc1SCc1cc(N)ccc1,rand_7
molecule_11,C12C(CC3C1(C(CO)=O)OC(c1ccc(SCc4cc(N)ccc4)cc1)O3)C1C(C3(C)C(=CC(=O)C=C3)CC1)C(O)C2,rand_8
