id,sequence
molecule_14,CC1=CN2[C@@H](C1)C=NC3=CC(=C(C=C3C2=O)OC)OCCCCCOC4=C(C=C5C(=C4)N=C[C@@H]6CC(=CN6C5=O)C)OC
molecule_15,CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC
molecule_16,CN(C)C1=NC=NC2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)NC(=O)[C@H](CC4=CC=C(C=C4)OC)N)O
molecule_17,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N6CCO[C@@H](C6)OC)O
molecule_18,CCCCc1nc2c(N)nc3ccccc3c2n1Cc1ccc(CN)cc1
molecule_19,NCCC1C2CO[PH](=O)(=O)OC3C(COP(=O)(O)OC1C(n1cnc4c(=O)[nH]c(N)nc41)O2)OC(n1cnc2c(N)ncnc21)C3O
molecule_20,COc1ccc(C2=CN3C(=O)c4cc(OC)c(OCCCOc5cc6c(cc5OC)C(=O)N5C=C(c7ccc(N)cc7)CC5C=N6)cc4N=CC3C2)cc1
molecule_21,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O
molecule_22,CC12C=CC(=O)C=C1C(F)CC1C3CC4OC(c5ccc(Sc6ccc(N)cc6)cc5)OC4(C(=O)CO)C3CC(O)C12F
molecule_23,CC12C=CC(=O)C=C1CCC1C3CC4OC(c5ccc(Cc6cccc(N)c6)cc5)OC4(C(=O)CO)C3CC(O)C12F
molecule_24,C[C@H]1[C@@H]2[C@H](C[C@@H](O1)O[C@H]3C[C@@](CC4=C3C(=C5C(=C4O)C(=O)C6=C(C5=O)C(=CC=C6)OC)O)(C(=O)CO)O)N7CCO[C@@H]([C@H]7O2)OC
molecule_25,CCN(C(C)=O)[C@H]1CO[C@@H](O[C@@H]2[C@@H](O)[C@H](NO[C@H]3C[C@H](O)[C@H](SC(=O)c4c(C)c(I)c(O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](OC)[C@H]5O)c(OC)c4OC)[C@@H](C)O3)[C@@H](C)O[C@H]2O[C@H]2C#C/C=C\C#C[C@]3(O)CC(=O)C(NC(=O)OC)=C2C3=CCSSSC)C[C@@H]1OC
molecule_26,CC12C=CC(=O)C=C1C(F)CC1C3CC4OC(c5ccc(Oc6ccc(N)cc6)cc5)OC4(C(=O)CO)C3CC(O)C12F
molecule_27,CC12C=CC(=O)C=C1CCC1C3CC4OC(c5ccc(Cc6cccc(N)c6)cc5)OC4(C(=O)CO)C3CC(O)C12
molecule_28,CC12C=CC(=O)C=C1C(F)CC1C3CC4OC(c5ccc(Cc6cccc(N)c6)cc5)OC4(C(=O)CO)C3CC(O)C12F
molecule_29,Nc1cccc2c(OCP(=O)(O)O)cc(C(=O)O)nc12
molecule_30,CC(c1ccc(C2OC3CC4C(CC(O)C5(F)C4CC(F)C4=CC(=O)C=CC45C)C3(C(=O)CO)O2)cc1)c1cccc(N)c1
molecule_31,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CN)OCO3
molecule_32,CCC(C)C(C(CC(=O)N1CCCC1C(OC)C(C)C(=O)NC(Cc1ccccc1)C(=O)O)OC)N(C)C(=O)C(NC(=O)C(C(C)C)N(C)CCc1ccc(NC)cc1)C(C)C
molecule_33,CC(=O)SCCCCCC(C(=O)NC1=CC=CC=C1)NC(=O)C2CCC(=O)N2
molecule_34,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CNC(=O)CN)OCO3
molecule_35,CC12C=CC(=O)C=C1CCC1C3CC4OC(c5ccc(SCc6cccc(N)c6)cc5)OC4(C(=O)CO)C3CC(O)C12F
molecule_36,C/C=C/C1=CN2C(=O)c3cc(OC)c(OCCCOc4cc5c(cc4OC)C(=O)N4C=C(/C=C/C)CC4C=N5)cc3N=CC2C1
molecule_37,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=C5[C@H](CCC6=C5C(=CC(=C6C)F)N=C4C3=C2)N)O
molecule_38,COc1cc2cc(c1Cl)N(C)C(=O)CC(OC(=O)C(C)N(C)C(=O)CCCCCN)C1(C)OC1C(C)C1CC(O)(NC(=O)O1)C(OC)/C=C/C=C(\C)C2
molecule_39,CCC(C)C1NC(=O)CNC(=O)C2Cc3c([nH]c4ccccc34)SCC(NC(=O)CNC1=O)C(=O)NC(CC(N)=O)C(=O)N1CC(O)CC1C(=O)NC(C(C)C(O)CO)C(=O)N2
molecule_40,COC1=C(C=C2C(=C1)C(=O)N3C=C(C[C@H]3C=N2)C4=CC=C(C=C4)N)OCCCCCN5CCN(CC5)CCN6C(=O)C7=CC=CC8=CC9=CC=CC=C9C(=C87)C6=O
molecule_41,C[C@H]1C[C@@]12C(=O)OC[C@H](C(=O)N[C@H](C(=O)N([C@H]3[C@@H](SC[C@@H](C(=O)N2C)N(C(=O)[C@@H](NC(=O)[C@@H](COC(=O)[C@@]4(C[C@@H]4C)N(C3=O)C)NC(=O)C5=NC6=CC=CC=C6C=C5O)C)C)SC)C)C)NC(=O)C7=NC8=CC=CC=C8C=C7O
molecule_42,CCC(C)C1NC(=O)CNC(=O)C2Cc3c([nH]c4ccccc34)SCC(NC(=O)CNC1=O)C(=O)NC(CC(N)=O)C(=O)N1CC(C#N)CC1C(=O)NC(C(C)C(O)CO)C(=O)N2
molecule_43,O=C(CCS)Nc1ccc2[nH]c(C(=O)Nc3ccc4[nH]c(C(=O)N5CC(CCl)c6c5cc(OP(=O)(O)O)c5ccccc65)cc4c3)cc2c1
molecule_44,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc(F)c(C)c3c1c2C(NC(=O)C(O)C1CC1)CC3
molecule_45,NCCCC(P(=O)(O)O)P(=O)(O)O
molecule_46,COC1=CC=C(C=C1)C2=CN3[C@@H](C2)C=NC4=CC(=C(C=C4C3=O)OC)OCCCOC5=C(C=C6C(=C5)N=C[C@@H]7CC(=CN7C6=O)C8=CC=C(C=C8)N)OC
molecule_47,C=C1CC2C(O)Nc3cc(OCCCOc4cc5c(cc4OC)C(=O)N4CC(=C)CC4C(O)N5C(=O)OCc4ccc(OC5OC(C(=O)O)C(O)C(O)C5O)c([N+](=O)[O-])c4)c(OC)cc3C(=O)N2C1
molecule_48,CC12C=CC(=O)C=C1CCC1C3CC4OC(c5ccc(Sc6cccc(N)c6)cc5)OC4(C(=O)CO)C3CC(O)C12
molecule_49,CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@@H]([C@@H](C)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)O)OC)OC)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)N(C)C
molecule_50,CC12C=CC(=O)C=C1C(F)CC1C3CC4OC(c5ccc(SCc6cccc(N)c6)cc5)OC4(C(=O)CO)C3CC(O)C12F
molecule_51,CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@@H]([C@@H](C)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N)OC)OC)N(C)C(=O)[C@H]([C@H](C)N=[N+]=[N-])NC(=O)[C@H](C(C)C)NC
molecule_52,COc1cc2c(cc1OCc1cccc(CC(=O)N3CC(CCl)c4c3cc(O)c3ccccc43)c1)N=CC1CCCCN1C2=O
molecule_53,CC12C=CC(=O)C=C1CCC1C3CC4OC(c5ccc(S(=O)(=O)c6cccc(N)c6)cc5)OC4(C(=O)CO)C3CC(O)C12
molecule_54,CC12C=CC(=O)C=C1C(F)CC1C3CC4OC(c5ccc(Cc6ccc(N)cc6)cc5)OC4(C(=O)CO)C3CC(O)C12F
molecule_55,CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@@H]([C@@H](C)C(=O)N[C@@H](CC2=CC=C(C=C2)N)CN=[N+]=[N-])OC)OC)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)N(C)C
molecule_56,COC1=C(C=C2C(=C1)C(=O)N3CCC[C@H]3C=N2)OCCCCCOC4=C(C=C5C(=C4)N=C[C@@H]6CCCN6C5=O)OC
molecule_57,CCN(C(C)=O)C1COC(OC2C(OC3C#C/C=C\C#CC4(O)CC(=O)C(NC(=O)OC)=C3/C4=C\CSSC(C)(C)CCC(=O)O)OC(C)C(NOC3CC(O)C(SC(=O)c4c(C)c(I)c(OC5OC(C)C(O)C(OC)C5O)c(OC)c4OC)C(C)O3)C2O)CC1OC
molecule_58,CC(C)[C@@]12[C@@H](O1)[C@H]3[C@@]4(O3)[C@]5(CCC6=C([C@@H]5C[C@H]7[C@]4([C@@H]2O)O7)COC6=O)C
molecule_59,CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@@H]([C@@H](C)C(=O)N[C@@H](CC2=CC=CC=C2)C3=NC=CS3)OC)OC)N(C)C(=O)[C@H](C(C)C)NC(=O)C(C)(C)N
molecule_60,COC1=C(C(=C2C(=C1)C=C(N2)C(=O)N3C[C@H]4C[C@@]45C3=CC(=O)C6=C5C=C(N6)C(=O)OC)OC)OC
molecule_61,COC(=O)C1Cc2c([nH]c3ccccc23)C(c2ccc(N)cc2)N1C(=O)CCl
molecule_62,C[C@@H](/C=C(\C)/C=C\C=C/C(=O)N[C@H](C(=O)N/C=C\C[C@H](C/C=C(\C)/Cl)OC(=O)N)C(C)(C)C)[C@@H]1CC=C(C(=O)O1)OC
molecule_63,CCC(C)C1NC(=O)CNC(=O)C2Cc3c([nH]c4ccccc34)SCC(NC(=O)CNC1=O)C(=O)NC(CC(N)=O)C(=O)N1CC(N)CC1C(=O)NC(C(C)C(O)CO)C(=O)N2
molecule_64,CC12C=CC(=O)C=C1C(F)CC1C3CC4OC(c5ccc(Sc6cccc(N)c6)cc5)OC4(C(=O)CO)C3CC(O)C12F
molecule_65,O=C(/C=C/c1ccc(/C=C/C(=O)N2CC(CCl)c3c2cc(OP(=O)(O)O)c2ccccc32)c(O)c1)N1CC(CCl)c2c1cc(OP(=O)(O)O)c1ccccc21
molecule_66,COc1cc2c(cc1OCCCOc1cc3c(cc1OC)C(=O)N1C=C(c4ccc(N5CCN(C)CC5)cc4)CC1C=N3)N=CC1CC(c3ccc(N)cc3)=CN1C2=O
molecule_67,CCC(C)C(C(CC(=O)N1C2CC2CC1C(OC)C(C)C(=O)NC(Cc1ccccc1F)C(=O)O)OC)N(C)C(=O)C(NC(=O)C(NC)C(C)C)C(C)C
molecule_68,CCC(C)C1NC(=O)CNCC2Cc3c([nH]c4ccccc34)SCC(NC(=O)CNCC1=O)C(=O)NC(CC(N)=O)C(=O)N1CC(O)CC1C(=O)NC(C(C)C(O)CO)C(=O)N2
molecule_69,CCCCc1nc2c(N)nc3ccccc3c2n1Cc1ccc(N)cc1
molecule_70,CC12C=CC(=O)C=C1CCC1C3CC4OC(c5ccc(Sc6cccc(N)c6)cc5)OC4(C(=O)CO)C3CC(O)C12F
molecule_71,CC(C)C(NC(=O)OCCN(CCOC(=O)NC(C(=O)NC(CCCNC(N)=O)C(=O)Nc1ccc(CO)cc1)C(C)C)S(=O)(=O)NC(=O)OCCOCCNS(=O)(=O)NC(=O)OCC1C2CCC#CCCC21)C(=O)NC(CCCNC(N)=O)C(=O)Nc1ccc(CO)cc1
molecule_72,CC(S)CCC(N)=O
molecule_73,C[C@@H](C(=O)NC1=CC=C(C=C1)CO)NC(=O)[C@H](C(C)C)NC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCNC(=O)CCN2C(=O)C=CC2=O
molecule_74,C1=CC=C(C=C1)C[C@@H](C(=O)NCC(=O)O)NC(=O)CNC(=O)CNC(=O)CCCCCN2C(=O)C=CC2=O
molecule_75,CC(C)[C@@H](C(=O)N[C@@H](CCCNC(=O)N)C(=O)NC1=CC=C(C=C1)CO)NC(=O)CCCCCN2C(=O)C=CC2=O
molecule_76,C1CC(=O)N(C1=O)OC(=O)CCCSSC2=CC=CC=N2
molecule_77,CCC(C)C(C(CC(=O)N1CCCC1C(OC)C(C)C(=O)NC(C)C(O)c1ccccc1)OC)N(C)C(=O)C(NC(=O)C(C(C)C)N(C)C(=O)OCc1ccc(NC(=O)C(CCCNC(N)=O)NC(=O)C(NC(=O)CCOCCOCCOCCOCCOCCNC(=O)CCC(=O)N2Cc3ccccc3C#Cc3ccccc32)C(C)C)cc1)C(C)C
molecule_78,C1CC(=O)N(C1=O)OC(=O)CCSSC2=CC=CC=N2
molecule_79,O=C(O)CCCCCN1C(=O)C=CC1=O
molecule_80,C1CC(CCC1CN2C(=O)C=CC2=O)C(=O)ON3C(=O)CCC3=O
molecule_81,CC(C)C(C(=O)N(C1=CC=C(C=C1)CO)C(CCCNC(=O)N)C(=O)N)NC(=O)CCOCCOCCN2C(=O)C=CC2=O
molecule_82,CC(COC(=O)Nc1ccc(CCl)cc1)SSc1ccc([N+](=O)[O-])cn1
molecule_83,CC(NC(=O)C(C)NC(=O)CCNC(=O)/C=C/C(=O)O)C(=O)O
molecule_84,CC(CCC(=O)ON1C(=O)CCC1=O)SSC2=CC=CC=N2
molecule_85,CC(C)C(NC(=O)OCCOCCN1C(=O)C=CC1=O)C(=O)NC(CCCNC(N)=O)C(=O)Nc1ccc(COC(=O)N(C)CCN(CCOCCO)C(=O)O)cc1
molecule_86,CC(C)C(NC(=O)C1CCCN1C(=O)C(CC(N)=O)NC(=O)CCCCCN1C(=O)C=CC1=O)C(=O)Nc1ccc(CO)cc1
molecule_87,O=C(O)CCC(NC(=O)CNC(=O)CBr)C(=O)O
molecule_88,C1CC(=O)N(C1=O)OC(=O)C(CCSSC2=CC=CC=N2)S(=O)(=O)O
molecule_89,C(C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)O)N
molecule_90,C1CC(CCC1CN2C(=O)C=CC2=O)C(=O)NCC3=CN(N=N3)CCOCCOCCOCCOCCOCCOCCOCCOCCNC(=O)COCC(=O)N[C@@H](CCCCN)C(=O)NC4=CC=C(C=C4)CO
molecule_91,CC(C(=O)C)C(=S)ON1C(=O)CCC1=O
molecule_92,CC(NC(=O)C(NC(=O)CCOCCOCCOCCOCCOCCC(=O)Nc1ccc(-c2nncnn2)cc1)C(C)C)C(=O)Nc1ccc(CO)cc1
molecule_93,NCCNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN
molecule_94,C[C@@H](C(=O)O)NC(=O)[C@H](C(C)C)NC(=O)CCCCCN1C(=O)C=CC1=O
molecule_95,C=C/C=C\CCC(NC(=O)COCC(=O)NCCOCCOCCOCCOCCOCCOCCOCCOCCn1cc(CNC(=O)C2CCC(CN3C(=O)C=CC3=O)CC2)nn1)C(=O)NC(CCCCN)C(=O)Nc1ccc(COC(=O)N(C)CCN)cc1
molecule_96,CC(NC(=O)C(NC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCNC(=O)CCN1C(=O)C=CC1=O)C(C)C)C(=O)Nc1ccc(CO)cc1
molecule_97,CC1=NC2C(O1)OC(CO)C(OC1OC(COCCOCCOCCNC(=O)CCOCCOCCOCCOCCOCCC(=O)NC(C(=O)NC(CCCNC(N)=O)C(=O)Nc3ccc(CO)cc3)C(C)C)C(O)C(O)C1O)C2O
molecule_98,CC(C)C(NC(=O)CNC(=O)CNC(=O)CN)C(=O)NC(CCCNC(N)=O)C(=O)Nc1ccc(COC(=O)N(C)CCN(C)C(=O)O)cc1
molecule_99,CC(=O)c1ccc(OCCCC(N)=O)cc1
molecule_100,COC(=O)C(OC(=O)Oc1ccc([N+](=O)[O-])cc1)c1ccc(NC(=O)OCc2cc(OC)cc(OC)c2)cc1
molecule_101,CC(C)C(NC(=O)CCCCCNC(=O)c1cc(CBr)nc(CBr)c1)C(=O)NC(CCCNC(N)=O)C(=O)Nc1ccc(CO)cc1
molecule_102,O=C(O)CCCCCN1C(=O)C(Sc2ccccc2)=C(Sc2ccccc2)C1=O
molecule_103,CC(NC(=O)C(NC(=O)CCNC(=O)/C=C/C(=O)O)C(C)C)C(=O)Nc1ccc(CO)cc1
molecule_104,CC(C)C(NC(=O)CCOCCOCCOCCOCCNC(=O)CCN1C(=O)C=CC1=O)C(=O)NC(CCCCN)C(=O)O
molecule_105,C1=CC(=O)N(C1=O)CCOCCO
molecule_106,C=CC.CC(C)C(NC(=O)CNC(=O)CNC(=O)CN)C(=O)NC(CCCNC(N)=O)C(=O)Nc1ccc(CO)cc1
molecule_107,O=C(CCCCN1C(=O)C=CC1=O)NCC1CCC(C(=O)NCCN2C(=O)C=CC2=O)CC1
molecule_108,NNC(=O)C1CCC(CN2C(=O)C=CC2=O)CC1
molecule_109,CC(NC(=O)C(NC(=O)CCOCCOCCOCCOCCNC(=O)CI)C(C)C)C(=O)Nc1ccc(CO)cc1
molecule_110,CN(CC(=O)O)C(=O)CN(C)C(=O)N(C)C(=O)CN(C)C(=O)CN(C)C(=O)CN(C)C(=O)CN(C)C(=O)CN(C)C(=O)CN(C)C(=O)CN(C)C(=O)CN(CCn1cc(CC(O)c2ccc(OC3OC(C(=O)O)C(O)C(O)C3O)c([N+](=O)[O-])c2)nn1)C(=O)Cc1ccc(N2C(=O)C=CC2=O)cc1
molecule_111,C[C@@H](C(=O)NC1=CC=C(C=C1)CO)NC(=O)[C@H](C(C)C)NC(=O)CCCCCN2C(=O)C=CC2=O
molecule_112,C#CP(=O)(Nc1ccc(C(=O)NC(C(=O)NC(CCCNC(N)=O)C(=O)Nc2ccc(CO)cc2)C(C)C)cc1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
molecule_113,CNCCN(C)C(=O)OCc1ccc(NC(=O)C(CCCNC(N)=O)NC(=O)C(NC(=O)C(CCCCN)NC(C)=O)C(C)C)cc1
molecule_114,CC(C)C(NC(=O)CCCCCc1cc(CBr)nc(CBr)c1)C(=O)NC(CCCNC(N)=O)C(=O)Nc1ccc(CO)cc1
molecule_115,CC(S)CCC(=O)O
molecule_116,CC(NC(=O)C(NC(=O)CCN1C(=O)C=CC1=O)C(C)C)C(=O)Nc1ccc(CO)cc1
molecule_117,O=C(O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCN1C(=O)C(Sc2ccccn2)C(Sc2ccccn2)C1=O
molecule_118,C1CC2CC2CCC#C1
molecule_119,C#CP(=O)(Nc1ccc(C(=O)NC(C(=O)NC(CCCNC(N)=O)C(=O)Nc2ccc(CO)cc2)C(C)C)cc1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
molecule_120,C1=CC=C(C(=C1)/C(=N/O)/N)N
molecule_121,C=Cc1cc(C=C)nc(NCCCCc2cn(CCOCCOCCOCCOCC(=O)NC(C(=O)NC(C)C(=O)Nc3ccc(CO)cc3)C(C)C)nn2)n1
molecule_122,C/C(=C\CO[PH](=O)(=O)O[PH](=O)(=O)O)CC/C=C(\C)CC/C(C)=N/OCCOCCOCCNC(=O)c1cc(CO)ccc1OC1OC(C(=O)O)C(O)C(O)C1O
molecule_123,CC(C)C(CC(=O)CC1CC(CNC(=O)CCCCCN2C(=O)C=CC2=O)C(O)C1O)C(=O)NC(CCCNC(N)=O)C(=O)Nc1ccc(CCN)cc1
molecule_124,CC(NC(=O)C(NC(=O)CCCCCNC(=O)/C=C\C(=O)O)C(C)C)C(=O)Nc1ccc(CO)cc1
molecule_125,C/C(=N\OCC(=O)O)c1ccc(C)cc1
molecule_126,CC(C)C(NC(=O)CCOCCOCCOCCOCCNC(=O)CCCCC(=O)N1Cc2ccccc2-c2nnn(CCOCCOCCOCCN)c2-c2ccccc21)C(=O)NC(CCCNC(N)=O)C(=O)Nc1ccc(CO)cc1
molecule_127,CC(C)C(NC(=O)CCCCCNC(=O)/C=C\C(=O)O)C(=O)NC(CCCNC(N)=O)C(=O)Nc1ccc(CO)cc1
molecule_128,O=C(Cc1ccc(N2C(=O)C=CC2=O)cc1)NCCn1cc(CC(O)c2ccc(OC3OC(C(=O)O)C(O)C(O)C3O)c([N+](=O)[O-])c2)nn1
molecule_129,CC(C)C(NC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCNC(=O)CCN1C(=O)C=CC1=O)C(=O)NC(CCCCN)C(=O)NCC(=O)O
molecule_130,CC(C)C(NC(=O)CCC(=O)N1CCC(C(=O)O)CC1)C(=O)NC(CCCNC(N)=O)C(=O)Nc1ccc(CO)cc1
molecule_131,CC(NC(=O)C(NC(=O)OCCN(CCOC(=O)NC(C(=O)NC(C)C(=O)Nc1ccc(CO)cc1)C(C)C)S(=O)(=O)NC(=O)OCCOCCNS(=O)(=O)NC(=O)OCC1C2CCC#CCCC21)C(C)C)C(=O)Nc1ccc(CO)cc1
molecule_132,NCNC(=O)CCOCCOCCOCCOCCOCCOCCOCCNC(=O)CCC1C(=O)C=CC1=O
molecule_133,C=CS(=O)(=O)N1CCN(S(=O)(=O)C=C)C(C(=O)NCc2cn(CCOCCOCCOCC(=O)N(C)CCN(C)C(=O)O)nn2)C1
molecule_134,C=Cc1cc(C=C)nc(NCCCCc2cn(CCOCCOCCOCCOCC(=O)O)nn2)n1
molecule_135,NC(=O)CCSC1=CC(=O)N(CC2CCC(C(=O)ON3C(=O)CCC3=O)CC2)C1=O
molecule_136,CC(NC(=O)C(NC(=O)CCOCCOCCNC(=O)CCN1C(=O)C=CC1=O)C(C)C)C(=O)Nc1ccc(CO)cc1
molecule_137,O=C(CCN1C(=O)C=CC1=O)NCCOCCOCCOCCOCCC(=O)ON1C(=O)CCC1=O
molecule_138,CC(NC(=O)C(C(C)C)N(C)CCCn1nnc2c1-c1ccccc1CN(C(=O)CCNC(=O)CCOCCOCCOCCOCCNC(=O)CCN1C(=O)C=CC1=O)c1ccccc1-2)C(=O)O
molecule_139,CCCNC(=O)CCCCCN1C(=O)C=CC1=O
molecule_140,CC(NC(=O)C(NC(=O)CCOCCOCCOCCOCCNC(=O)CCN1C(=O)C=CC1=O)C(C)C)C(=O)Nc1ccc(CO)cc1
molecule_141,CC(C)C(NC(=O)CCCCCN1C(=O)C=CC1=O)C(=O)NC(CCCNC(N)=O)C(=O)Nc1ccc(COC(=O)N(C)CCN(C)C(=O)O)cc1
molecule_142,COCCOCCOCCOCCOCCOCCOCCOCCCNCCCCC(NC(=O)CCCCCN1C(=O)C=CC1=O)C(=O)NC(C(=O)NC(C)C(=O)Nc1ccc(CO)cc1)C(C)C
molecule_143,CC(C)CC(NC(=O)C(C)NC(=O)C(C)NC(=O)C(C)NC(=O)CN)C(=O)N1CCCC1C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC (CCC(=O)O)C(=O)NC(C(=O)NCC(=O)NCC(=O)NCC(=O)NC(CCCCNC(=O)C1CCC(CNC(=O)/C=C\C(=O)O)CC1)C(=O)O)C(C)O
molecule_144,NOCCOCCOCCOCCO
molecule_145,C1CC(=O)N(C1=O)OC(=O)CI
molecule_146,CC(C)C(C(=O)O)N(C)C(=O)CCCCCNC(=O)COCC(=O)Nc1ccc(CCC(=O)N2CCC2=O)cc1
molecule_147,NCCCSC1CC(=O)N(CCCCCC(=O)O)C1=O
molecule_148,C=CS(=O)(=O)N1CCN(S(=O)(=O)C=C)C(C(=O)NCc2cn(CCOCCOCCOCCNC(=O)O)nn2)C1
molecule_149,C=CS(=O)(=O)N1CCN(S(=O)(=O)C=C)C(C(=O)NCc2cn(CCOCCOCCOCC(=O)N(C)CCN(CCOCCOCCOCCOC)C(=O)O)nn2)C1
molecule_150,C1CC(=O)N(C1=O)OC(=O)COCCOCCOCCOCCN2C(=O)C=CC2=O
molecule_151,CSC/C=C(\C)CC/C=C(\C)CC/C(C)=N/OCCOCCOCCNC(=O)c1cc(CO)ccc1OC1OC(C(=O)O)C(O)C(O)C1O
